# Hayabusa2 data processed
#=================================================================================================================================================================================================
# |------ Spacecraft ------| |------ Earth ------| |------ 1999JU3 ------|
# UTC L+ X Y Z X Y Z X Y Z Rs Re Ra Vs Ve alpha delta Dflt
# [day] [au] [au] [au] [au] [au] [au] [au] [au] [au] [10^4km] [10^4km] [10^4km] [km/s] [km/s] [deg] [deg] [10^4km]
#--------1---------------2--------3---------4---------5---------6---------7---------8---------9---------10--------11--------12---------13---------14-------15-------16-------17-------18-----19----
2015/02/24.05:00:00 83.0 -0.891832 0.601650 -0.124153 -0.897209 0.417433 -0.000009 0.197939 -1.399210 0.064844 16200.6 3324.2 34201.2 27.44 5.75 88.59 -10.53 20514.4
2015/02/25.05:00:00 84.0 -0.900966 0.588711 -0.124664 -0.904605 0.401702 -0.000008 0.210795 -1.397524 0.066047 16208.2 3362.6 34171.0 27.43 5.78 89.06 -10.25 20751.4
2015/02/26.05:00:00 85.0 -0.909889 0.575636 -0.125147 -0.911723 0.385850 -0.000007 0.223628 -1.395691 0.067242 16215.4 3400.9 34139.8 27.42 5.81 89.53 -9.96 20988.3
2015/02/27.05:00:00 86.0 -0.918601 0.562427 -0.125600 -0.918562 0.369882 -0.000007 0.236439 -1.393712 0.068430 16222.4 3439.0 34107.8 27.40 5.84 90.01 -9.68 21225.1
2015/02/28.05:00:00 87.0 -0.927101 0.549087 -0.126024 -0.925122 0.353802 -0.000006 0.249224 -1.391588 0.069612 16229.1 3477.0 34074.9 27.39 5.87 90.49 -9.39 21461.8
2015/03/01.05:00:00 88.0 -0.935081 0.535659 -0.126516 -0.931400 0.337617 -0.000005 0.261984 -1.389319 0.070786 16232.0 3516.0 34039.5 27.37 5.90 90.91 -9.13 21695.6
2015/03/02.05:00:00 89.0 -0.943141 0.522068 -0.126883 -0.937395 0.321330 -0.000005 0.274716 -1.386905 0.071952 16237.9 3553.6 34004.8 27.36 5.93 91.40 -8.85 21932.1
2015/03/03.05:00:00 90.0 -0.950983 0.508356 -0.127221 -0.943106 0.304946 -0.000005 0.287419 -1.384346 0.073111 16243.5 3591.0 33969.2 27.35 5.96 91.90 -8.58 22168.5
2015/03/04.05:00:00 91.0 -0.958605 0.494526 -0.127529 -0.948532 0.288471 -0.000005 0.300093 -1.381642 0.074263 16248.7 3628.3 33932.8 27.34 5.99 92.41 -8.31 22404.7
2015/03/05.05:00:00 92.0 -0.966006 0.480582 -0.127808 -0.953671 0.271909 -0.000005 0.312735 -1.378795 0.075407 16253.7 3665.3 33895.6 27.33 6.03 92.91 -8.04 22640.9
2015/03/06.05:00:00 93.0 -0.973185 0.466527 -0.128057 -0.958521 0.255266 -0.000005 0.325345 -1.375804 0.076543 16258.3 3702.2 33857.5 27.32 6.06 93.43 -7.77 22877.0
2015/03/07.05:00:00 94.0 -0.980138 0.452366 -0.128278 -0.963083 0.238545 -0.000005 0.337921 -1.372670 0.077670 16262.6 3738.9 33818.5 27.31 6.09 93.95 -7.50 23113.1
2015/03/08.05:00:00 95.0 -0.986865 0.438101 -0.128469 -0.967354 0.221751 -0.000005 0.350461 -1.369392 0.078790 16266.6 3775.4 33778.8 27.31 6.13 94.47 -7.24 23349.0
2015/03/09.05:00:00 96.0 -0.993365 0.423735 -0.128631 -0.971334 0.204891 -0.000005 0.362965 -1.365972 0.079902 16270.2 3811.8 33738.1 27.30 6.16 95.00 -6.98 23584.9
2015/03/10.05:00:00 97.0 -0.999635 0.409274 -0.128765 -0.975021 0.187967 -0.000005 0.375432 -1.362409 0.081005 16273.6 3847.9 33696.6 27.29 6.20 95.53 -6.72 23820.7
2015/03/11.05:00:00 98.0 -1.005675 0.394718 -0.128869 -0.978415 0.170986 -0.000005 0.387859 -1.358704 0.082100 16276.6 3883.9 33654.3 27.28 6.24 96.07 -6.47 24056.5
2015/03/12.05:00:00 99.0 -1.011484 0.380073 -0.128945 -0.981515 0.153952 -0.000004 0.400245 -1.354857 0.083186 16279.3 3919.8 33611.2 27.28 6.27 96.61 -6.21 24292.2
2015/03/13.05:00:00 100.0 -1.017059 0.365342 -0.128991 -0.984319 0.136871 -0.000004 0.412590 -1.350869 0.084264 16281.6 3955.4 33567.2 27.27 6.31 97.15 -5.96 24527.8
2015/03/14.05:00:00 101.0 -1.022401 0.350527 -0.129009 -0.986826 0.119746 -0.000004 0.424891 -1.346739 0.085332 16283.6 3990.9 33522.3 27.27 6.35 97.70 -5.71 24763.4
2015/03/15.05:00:00 102.0 -1.027508 0.335633 -0.128997 -0.989037 0.102583 -0.000003 0.437149 -1.342469 0.086392 16285.3 4026.1 33476.6 27.26 6.39 98.26 -5.47 24999.0
2015/03/16.05:00:00 103.0 -1.032379 0.320662 -0.128957 -0.990949 0.085389 -0.000002 0.449360 -1.338059 0.087443 16286.7 4061.2 33430.1 27.26 6.43 98.82 -5.23 25234.5
